GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
CAES_Quillota500_10h,CAES,Quillota500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaCardones500_10h,CAES,NuevaCardones500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Ancoa500_10h,CAES,Ancoa500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Kimal220_10h,CAES,Kimal220,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaAncud500_10h,CAES,NuevaAncud500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaCharrua500_10h,CAES,NuevaCharrua500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaPandeAzucar500_10h,CAES,NuevaPandeAzucar500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Cumbre500_10h,CAES,Cumbre500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_AltoJahuel500_10h,CAES,AltoJahuel500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaMaitencillo500_10h,CAES,NuevaMaitencillo500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Polpaico500_10h,CAES,Polpaico500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_RioMalleco500_10h,CAES,RioMalleco500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Kimal500_10h,CAES,Kimal500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Mulchen500_10h,CAES,Mulchen500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Lagunas220_10h,CAES,Lagunas220,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaPuertoMontt500_10h,CAES,NuevaPuertoMontt500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Candelaria500_10h,CAES,Candelaria500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Parinas500_10h,CAES,Parinas500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_Rapel500_10h,CAES,Rapel500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_NuevaPozoAlmonte220_10h,CAES,NuevaPozoAlmonte220,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
CAES_LosChangos500_10h,CAES,LosChangos500,0,100,.,0,25,.,0,0,0,0,0,CAES,.,.,.,0.52,1,10,.,0,True,2024,.
PHS_Parinacota220_10h,PHS,Parinacota220,0,16888.88,.,0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0,True,2024,.
PHS_Cumbre500_10h,PHS,Cumbre500,0,1010.001264,.,0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0,True,2024,.
PHS_Lagunas220_10h,PHS,Lagunas220,0,3972.22,.,0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0,True,2024,.
PHS_NuevaPuertoMontt500_10h,PHS,NuevaPuertoMontt500,0,3333.33,.,0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0,True,2024,.
PHS_NuevaPozoAlmonte220_10h,PHS,NuevaPozoAlmonte220,0,5166.66,.,0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0,True,2024,.
H2_PEM_Polpaico500,Hydrogen_storage_PEM,Polpaico500,0,5000,.,0,30,.,0,0,0,0,0,Hydrogen_storage_PEM,.,.,.,0.31,1,100,.,0,"""Predeterminada""",2024,.
H2_PEM_NuevaCharrua500,Hydrogen_storage_PEM,NuevaCharrua500,0,5000,.,0,30,.,0,0,0,0,0,Hydrogen_storage_PEM,.,.,.,0.31,1,100,.,0,"""Predeterminada""",2024,.
H2_PEM_Kimal500,Hydrogen_storage_PEM,Kimal500,0,5000,.,0,30,.,0,0,0,0,0,Hydrogen_storage_PEM,.,.,.,0.31,1,100,.,0,"""Predeterminada""",2024,.
ANGOSTURA_U1,Hidro A,Mulchen500,0,140,.,0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,350,"""Predeterminada""",2022,.
ANGOSTURA_U2,Hidro A,Mulchen500,0,140,.,0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,350,"""Predeterminada""",2022,.
ANGOSTURA_U3,Hidro A,Mulchen500,0,47.8,.,0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,119.5,"""Predeterminada""",2022,.
ANTUCO_U1,Hidro A,Mulchen500,0,160,.,0,50,.,0,0,0,0,0,Hidro A,.,.,.,.,.,.,.,400,"""Predeterminada""",2022,.
